"X","CodIstat","Comune","Anno","Total","Male","Female"
202,58020,"Carpineto Romano",2003,4884,2389,2495
203,58020,"Carpineto Romano",2004,4874,2387,2487
204,58020,"Carpineto Romano",2005,4809,2345,2464
205,58020,"Carpineto Romano",2006,4811,2337,2474
206,58020,"Carpineto Romano",2007,4770,2325,2445
207,58020,"Carpineto Romano",2008,4799,2353,2446
208,58020,"Carpineto Romano",2009,4787,2348,2439
209,58020,"Carpineto Romano",2010,4748,2331,2417
210,58020,"Carpineto Romano",2011,4714,2306,2408
211,58021,"Casape",2002,748,360,388
212,58021,"Casape",2003,768,369,399
213,58021,"Casape",2004,788,385,403
214,58021,"Casape",2005,781,380,401
215,58021,"Casape",2006,790,388,402
216,58021,"Casape",2007,784,388,396
217,58021,"Casape",2008,777,389,388
218,58021,"Casape",2009,774,393,381
219,58021,"Casape",2010,774,386,388
220,58021,"Casape",2011,748,366,382
221,58022,"Castel Gandolfo",2002,7925,3776,4149
222,58022,"Castel Gandolfo",2003,8108,3869,4239
223,58022,"Castel Gandolfo",2004,8539,4088,4451
224,58022,"Castel Gandolfo",2005,8592,4123,4469
225,58022,"Castel Gandolfo",2006,8643,4138,4505
226,58022,"Castel Gandolfo",2007,8691,4145,4546
227,58022,"Castel Gandolfo",2008,8706,4146,4560
228,58022,"Castel Gandolfo",2009,8952,4258,4694
229,58022,"Castel Gandolfo",2010,9000,4283,4717
230,58022,"Castel Gandolfo",2011,9037,4298,4739
231,58023,"Castel Madama",2002,6436,3138,3298
232,58023,"Castel Madama",2003,6532,3194,3338
233,58023,"Castel Madama",2004,6695,3294,3401
234,58023,"Castel Madama",2005,7033,3489,3544
235,58023,"Castel Madama",2006,7124,3543,3581
236,58023,"Castel Madama",2007,7160,3558,3602
237,58023,"Castel Madama",2008,7312,3630,3682
238,58023,"Castel Madama",2009,7438,3685,3753
239,58023,"Castel Madama",2010,7540,3737,3803
240,58023,"Castel Madama",2011,7568,3742,3826
241,58025,"Castel San Pietro Romano",2002,744,356,388
242,58025,"Castel San Pietro Romano",2003,727,346,381
243,58025,"Castel San Pietro Romano",2004,761,367,394
244,58025,"Castel San Pietro Romano",2005,776,374,402
245,58025,"Castel San Pietro Romano",2006,780,375,405
246,58025,"Castel San Pietro Romano",2007,792,381,411
247,58025,"Castel San Pietro Romano",2008,834,400,434
248,58025,"Castel San Pietro Romano",2009,822,393,429
249,58025,"Castel San Pietro Romano",2010,847,406,441
250,58025,"Castel San Pietro Romano",2011,859,418,441
251,58024,"Castelnuovo di Porto",2002,7195,3509,3686
252,58024,"Castelnuovo di Porto",2003,7403,3605,3798
253,58024,"Castelnuovo di Porto",2004,7661,3740,3921
254,58024,"Castelnuovo di Porto",2005,7851,3845,4006
255,58024,"Castelnuovo di Porto",2006,8123,4003,4120
256,58024,"Castelnuovo di Porto",2007,8177,4035,4142
257,58024,"Castelnuovo di Porto",2008,8376,4117,4259
258,58024,"Castelnuovo di Porto",2009,8679,4267,4412
259,58024,"Castelnuovo di Porto",2010,8810,4331,4479
260,58024,"Castelnuovo di Porto",2011,8886,4362,4524
261,58026,"Cave",2002,9533,4669,4864
262,58026,"Cave",2003,9676,4741,4935
263,58026,"Cave",2004,9860,4867,4993
264,58026,"Cave",2005,9966,4925,5041
265,58026,"Cave",2006,10023,4958,5065
266,58026,"Cave",2007,10116,4987,5129
267,58026,"Cave",2008,10339,5096,5243
268,58026,"Cave",2009,10606,5247,5359
269,58026,"Cave",2010,10757,5316,5441
270,58026,"Cave",2011,10924,5378,5546
271,58027,"Cerreto Laziale",2002,1060,518,542
272,58027,"Cerreto Laziale",2003,1057,521,536
273,58027,"Cerreto Laziale",2004,1060,531,529
274,58027,"Cerreto Laziale",2005,1077,541,536
275,58027,"Cerreto Laziale",2006,1083,545,538
276,58027,"Cerreto Laziale",2007,1106,556,550
277,58027,"Cerreto Laziale",2008,1147,573,574
278,58027,"Cerreto Laziale",2009,1176,577,599
279,58027,"Cerreto Laziale",2010,1192,587,605
280,58027,"Cerreto Laziale",2011,1206,594,612
281,58028,"Cervara di Roma",2002,480,246,234
282,58028,"Cervara di Roma",2003,477,241,236
283,58028,"Cervara di Roma",2004,460,233,227
284,58028,"Cervara di Roma",2005,465,236,229
285,58028,"Cervara di Roma",2006,454,232,222
286,58028,"Cervara di Roma",2007,464,237,227
287,58028,"Cervara di Roma",2008,487,252,235
