"X","CodIstat","Comune","Anno","Total","Male","Female"
1144,58108,"Vallepietra",2005,367,182,185
1145,58108,"Vallepietra",2006,345,172,173
1146,58108,"Vallepietra",2007,336,169,167
1147,58108,"Vallepietra",2008,327,162,165
1148,58108,"Vallepietra",2009,325,163,162
1149,58108,"Vallepietra",2010,318,161,157
1150,58108,"Vallepietra",2011,308,156,152
1151,58109,"Vallinfreda",2002,294,150,144
1152,58109,"Vallinfreda",2003,292,153,139
1153,58109,"Vallinfreda",2004,286,149,137
1154,58109,"Vallinfreda",2005,285,146,139
1155,58109,"Vallinfreda",2006,292,148,144
1156,58109,"Vallinfreda",2007,295,154,141
1157,58109,"Vallinfreda",2008,300,153,147
1158,58109,"Vallinfreda",2009,301,150,151
1159,58109,"Vallinfreda",2010,314,153,161
1160,58109,"Vallinfreda",2011,316,157,159
1161,58110,"Valmontone",2002,12224,5933,6291
1162,58110,"Valmontone",2003,12415,6033,6382
1163,58110,"Valmontone",2004,12833,6258,6575
1164,58110,"Valmontone",2005,13453,6602,6851
1165,58110,"Valmontone",2006,13683,6720,6963
1166,58110,"Valmontone",2007,13860,6803,7057
1167,58110,"Valmontone",2008,14447,7138,7309
1168,58110,"Valmontone",2009,14862,7346,7516
1169,58110,"Valmontone",2010,15130,7486,7644
1170,58110,"Valmontone",2011,15469,7654,7815
1171,58111,"Velletri",2002,48266,23459,24807
1172,58111,"Velletri",2003,48908,23767,25141
1173,58111,"Velletri",2004,50036,24370,25666
1174,58111,"Velletri",2005,50324,24487,25837
1175,58111,"Velletri",2006,50699,24678,26021
1176,58111,"Velletri",2007,51021,24837,26184
1177,58111,"Velletri",2008,51507,25069,26438
1178,58111,"Velletri",2009,52647,25676,26971
1179,58111,"Velletri",2010,53054,25870,27184
1180,58111,"Velletri",2011,53544,26127,27417
1181,58112,"Vicovaro",2002,3715,1805,1910
1182,58112,"Vicovaro",2003,3929,1913,2016
1183,58112,"Vicovaro",2004,3935,1903,2032
1184,58112,"Vicovaro",2005,4047,1965,2082
1185,58112,"Vicovaro",2006,4036,1962,2074
1186,58112,"Vicovaro",2007,3952,1919,2033
1187,58112,"Vicovaro",2008,4047,1975,2072
1188,58112,"Vicovaro",2009,4101,2004,2097
1189,58112,"Vicovaro",2010,4123,2020,2103
1190,58112,"Vicovaro",2011,4108,2016,2092
1191,58113,"Vivaro Romano",2002,223,112,111
1192,58113,"Vivaro Romano",2003,226,116,110
1193,58113,"Vivaro Romano",2004,216,110,106
1194,58113,"Vivaro Romano",2005,204,103,101
1195,58113,"Vivaro Romano",2006,211,106,105
1196,58113,"Vivaro Romano",2007,204,100,104
1197,58113,"Vivaro Romano",2008,194,94,100
1198,58113,"Vivaro Romano",2009,194,92,102
1199,58113,"Vivaro Romano",2010,194,92,102
1200,58113,"Vivaro Romano",2011,192,91,101
1201,58114,"Zagarolo",2002,12855,6330,6525
1202,58114,"Zagarolo",2003,13265,6556,6709
1203,58114,"Zagarolo",2004,13866,6867,6999
1204,58114,"Zagarolo",2005,14620,7263,7357
1205,58114,"Zagarolo",2006,15153,7526,7627
1206,58114,"Zagarolo",2007,15435,7712,7723
1207,58114,"Zagarolo",2008,16073,8045,8028
1208,58114,"Zagarolo",2009,16877,8468,8409
1209,58114,"Zagarolo",2010,17328,8700,8628
1210,58114,"Zagarolo",2011,17628,8837,8791
